graine,score,invalides
1,-226.8,0
2,-136.8,0
3,-227.8,0
4,-227.8,0
5,-221.3,0
6,-221.3,0
7,-157.3,0
8,-221.3,0
9,-122.3,0
10,-227.8,0
11,-220.3,0
12,-221.3,0
13,-220.3,0
14,-121.3,0
15,-121.4,0
16,-221.2,0
17,-221.3,0
18,-220.2,0
19,-121.3,0
20,-168.8,0
21,-242.3,0
22,-157.6,0
23,-242.3,0
24,-221.3,0
25,-220.3,0
26,-33.3,0
27,-227.8,0
28,-227.7,0
29,-121.4,0
30,-121.4,0
31,-157.2,0
32,-221.3,0
33,-227.8,0
34,-222.2,0
35,-160.2,0
36,-121.4,0
37,-122.4,0
38,-227.8,0
39,-168.6,0
40,-121.4,0
41,-122.4,0
42,-221.3,0
43,-227.8,0
44,-121.4,0
45,-221.3,0
46,-227.8,0
47,-227.7,0
48,-227.8,0
49,-221.3,0
50,-227.8,0
51,-221.3,0
52,-121.4,0
53,-221.3,0
54,-220.2,0
55,-220.2,0
56,-220.2,0
57,-132.8,0
58,-221.3,0
59,-207.3,0
60,-145.7,0
61,-221.3,0
62,-221.3,0
63,-221.3,0
64,-33.8,0
65,-121.4,0
66,-227.7,0
67,-227.8,0
68,-220.8,0
69,-122.4,0
70,-220.2,0
71,-121.4,0
72,-227.8,0
73,-222.3,0
74,-121.4,0
75,-220.2,0
76,-158.2,0
77,-228.8,0
78,-33.3,0
79,-221.2,0
80,-221.7,0
81,-221.8,0
82,-227.7,0
83,-220.8,0
84,-221.2,0
85,-167.8,0
86,-220.2,0
87,-220.2,0
88,-158.2,0
89,-220.3,0
90,-221.3,0
91,-220.3,0
92,-227.8,0
93,-221.3,0
94,-167.8,0
95,-34.3,0
96,-227.7,0
97,-227.8,0
98,-121.3,0
99,-227.8,0
100,-221.3,0
